sexo,idade,numero_de_amigos,basquete,futebol_americano,futebol,softbol,voleibol,natacao,animacao,beisebol,tenis,esportes,fofo,danca,banda,marcha,musica,rock,cabelo,vestido,shopping,compras,roupas,nossa_marca,marca_concorrente,bebidas
F,13,36,2,3,1,0,1,1,3,1,1,0,0,0,0,2,0,1,0,0,1,1,2,1,1,1
M,18,90,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
M,17,49,0,0,2,0,1,0,0,0,1,0,3,0,0,0,2,0,1,0,1,0,0,2,0,1
F,16,69,0,1,0,1,1,0,2,2,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,2
F,16,45,0,0,2,1,1,1,1,1,0,0,0,3,0,1,0,1,0,1,0,1,0,1,1,0
F,19,26,1,0,0,1,0,0,2,2,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0
F,13,76,0,0,1,0,1,1,1,1,0,2,0,1,0,1,0,0,0,1,2,1,0,2,0,0
M,17,96,1,0,1,3,1,0,2,0,0,1,0,2,0,0,0,0,0,2,1,1,0,1,0,0
F,14,26,0,2,0,0,0,0,1,2,2,0,1,2,1,0,0,1,1,1,0,0,0,1,1,0
M,13,77,2,2,3,1,1,0,2,0,0,2,0,0,0,1,0,3,0,1,1,1,1,1,0,2
M,16,26,0,0,0,1,0,0,1,0,1,0,0,2,1,0,1,1,0,0,0,0,1,0,1,0
NE,19,71,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,2
M,18,78,1,0,1,1,1,2,0,0,1,0,1,1,0,0,1,0,2,1,1,1,0,0,0,0
F,18,44,0,1,2,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,2,3
F,18,73,0,0,0,1,1,1,0,1,3,1,0,0,2,0,0,0,2,0,0,1,0,1,2,0
F,18,27,2,0,1,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,1,3,0,1,1,0
M,16,7,1,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,2,0,1,1,1,0,0
F,13,9,1,1,2,2,0,1,0,0,0,1,0,1,1,1,2,1,1,1,3,2,0,1,0,1
F,18,44,0,0,0,0,2,1,1,1,0,0,4,0,2,1,0,1,2,0,0,0,1,2,1,3
F,16,90,0,0,0,0,0,3,1,2,2,1,1,0,1,0,0,2,0,0,1,1,0,0,0,1
F,16,12,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0
M,15,45,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
M,14,70,1,0,0,1,0,0,0,2,0,0,2,0,1,0,1,0,0,1,1,0,0,0,2,2
M,19,20,1,0,1,0,0,3,0,1,1,0,0,0,1,0,0,0,0,2,0,1,0,1,2,0
M,18,72,0,1,1,0,0,2,0,1,0,0,0,0,0,2,0,1,1,1,0,2,2,2,0,0
F,17,30,2,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,1,0,2,1,0,2,1,0
F,15,80,0,1,2,2,1,0,0,2,0,2,0,1,1,1,1,1,2,1,2,2,1,1,0,1
F,18,57,1,0,0,1,0,1,1,0,1,1,1,2,1,0,0,0,2,1,0,1,0,1,2,1
M,16,54,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,2,0
M,16,17,0,0,0,1,2,4,4,2,1,0,3,1,0,0,0,1,0,0,0,1,1,0,0,0
F,16,46,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,1,1,0,1,0,1,1,2
NE,14,85,2,2,0,1,1,0,0,0,0,2,2,0,1,2,0,1,0,0,4,0,2,1,0,0
F,13,1,0,1,0,1,0,1,1,0,1,2,1,0,0,0,1,0,0,1,0,1,0,0,1,3
F,16,75,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,3,0,3,1,1,1,1,1
M,19,49,2,0,2,0,0,1,1,0,0,1,0,2,2,0,1,0,2,0,0,1,0,0,0,1
M,13,71,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,3
M,19,66,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,0,0,0,0,0,1
NE,18,43,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,3,2
F,14,30,0,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
M,17,62,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,2,0,0,2
M,14,14,0,0,0,0,0,1,0,1,0,0,0,2,2,1,1,0,1,0,3,1,0,1,0,1
M,18,58,0,0,1,0,0,0,1,2,0,0,1,1,0,1,0,0,1,2,0,0,0,0,1,0
F,17,9,0,1,1,0,0,0,2,3,0,2,1,0,0,0,1,0,0,1,0,0,0,1,2,1
NE,15,64,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1
F,13,62,0,1,0,2,2,1,1,1,0,0,1,0,0,1,0,1,1,1,0,3,0,1,2,1
F,19,8,0,0,0,0,3,0,0,2,1,0,2,1,0,0,0,0,0,0,2,0,0,1,2,1
M,16,75,0,1,0,0,3,0,0,0,0,1,5,1,0,0,0,0,0,2,0,0,1,1,0,0
M,19,41,1,2,1,1,0,1,0,0,0,1,1,1,0,2,0,0,1,1,0,2,1,0,0,0
NE,17,78,0,2,1,2,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,2,0,0,0
M,18,4,0,3,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,2
F,18,17,0,1,0,1,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,2,1,0,0,1
M,14,49,2,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,0,0,0,0,2
F,15,18,0,2,1,0,1,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
M,16,32,0,2,1,1,1,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,2,0,0
F,16,66,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0
M,13,14,1,0,1,1,4,0,0,1,0,0,0,0,1,0,1,1,1,3,0,0,0,2,0,1
M,16,67,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0
M,14,10,0,1,0,1,0,1,1,0,0,2,0,1,0,1,0,2,0,1,1,1,0,0,0,0
F,18,17,0,1,0,0,0,2,1,0,0,0,0,1,0,0,1,1,1,0,2,0,2,1,0,1
F,17,58,0,1,2,1,2,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,1,1,0,1
F,19,79,1,1,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F,18,17,1,2,0,0,0,0,1,1,0,0,2,0,1,2,0,0,0,2,0,0,2,0,2,0
M,15,29,4,0,0,0,0,0,3,0,0,0,1,1,0,0,2,1,1,1,1,1,0,0,1,0
F,19,92,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0
M,15,98,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,2,0,2,0,1,0,2
F,15,58,0,1,3,0,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,2,1,0,0
F,19,44,0,2,0,0,0,0,0,1,1,1,0,0,3,2,2,0,0,0,1,0,0,0,1,0
M,15,34,1,1,0,2,1,1,0,1,0,0,0,0,1,0,1,1,1,3,0,1,0,0,1,0
F,13,61,0,0,0,0,1,2,0,0,1,1,0,0,2,1,1,1,0,0,0,0,0,1,2,2
F,16,59,1,1,0,0,2,0,0,0,1,0,1,0,2,0,1,1,0,2,1,2,1,1,0,0
F,18,29,0,0,0,0,0,0,0,2,2,0,2,1,1,0,1,2,0,1,1,1,0,0,1,1
F,14,2,0,0,0,1,1,1,0,1,1,0,0,0,2,0,0,0,1,0,0,1,2,0,0,3
M,16,15,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0
F,13,95,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,1
F,17,41,0,2,1,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,1,0,0,2,0,1
M,16,48,0,1,0,0,2,0,0,1,0,1,2,0,0,1,1,1,1,3,0,1,0,0,0,1
M,15,46,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1
M,14,78,0,1,0,0,0,2,2,0,1,0,1,3,1,0,1,0,1,0,0,1,0,0,0,0
F,16,6,1,0,1,1,2,1,2,0,2,1,3,0,0,0,0,0,1,1,0,1,1,0,0,0
M,17,8,2,1,1,0,0,2,0,0,0,1,1,1,0,0,0,2,0,2,1,1,1,1,0,0
F,19,27,0,0,0,1,0,4,2,0,1,0,1,0,1,1,0,0,2,0,0,0,2,3,0,5
F,16,48,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,1,0,1,1
M,14,67,2,3,0,2,0,1,1,0,1,2,0,0,0,0,2,0,1,0,1,0,0,0,0,1
M,18,49,0,0,3,1,1,1,1,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1
M,17,44,1,0,0,1,0,1,2,2,0,0,0,0,1,1,1,0,0,1,0,0,0,2,1,0
M,17,93,1,2,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,2,0,0,0,0
F,13,16,2,1,0,0,0,2,2,0,1,0,1,2,0,1,1,0,1,2,1,1,0,0,1,0
M,15,57,1,1,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,1,2,0,0,0,3,0
M,18,54,1,0,1,1,2,0,2,0,0,0,2,1,0,1,0,1,1,2,2,1,0,1,0,0
F,18,47,1,0,2,0,1,2,0,2,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
F,16,80,2,0,1,2,0,0,0,1,0,0,0,1,0,0,1,2,1,2,1,0,1,0,3,1
F,18,26,3,0,1,0,1,0,1,1,1,1,1,0,0,2,0,1,0,0,0,0,1,0,1,1
M,18,95,1,0,1,0,2,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,2,0,1,1
F,15,33,1,0,0,1,0,2,2,1,0,0,1,0,1,0,0,0,0,0,1,2,1,1,0,0
F,19,54,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,1,2,1,0,1,1,0,1
M,15,52,0,0,0,1,0,1,2,2,0,0,4,0,0,1,0,0,2,0,0,1,0,0,1,0
M,14,84,0,2,0,0,0,2,0,1,3,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0
F,17,43,2,0,1,1,0,2,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0
M,17,28,2,1,1,0,3,0,0,0,1,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0
M,13,2,0,0,1,3,0,1,1,4,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0
M,18,36,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,2,1,1,0,0,0,3,0,1
F,14,82,1,1,0,0,0,0,2,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
F,18,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
M,13,89,0,0,0,1,0,0,0,1,3,1,0,1,2,2,0,0,2,0,0,0,1,0,0,0
F,18,54,2,0,2,2,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
M,18,14,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,2,2,1,0,0
F,18,30,0,1,3,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2
M,17,55,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,3,0,1,0,2,1,0,0
M,16,31,0,1,1,0,0,0,1,2,1,0,0,0,1,1,0,0,0,2,0,1,0,3,3,1
M,17,10,1,0,1,2,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
NE,14,66,0,2,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,3,1,1,2,1
M,18,67,1,2,0,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0
F,16,11,2,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0
F,16,28,0,2,1,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1
M,16,24,3,0,0,1,2,0,0,1,1,0,2,1,0,1,1,1,0,1,0,0,1,0,0,1
M,16,65,1,0,0,1,0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0
NE,13,73,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0
M,13,72,1,0,0,0,2,0,0,3,1,0,2,1,1,0,0,1,0,1,1,0,1,0,0,1
F,14,93,0,0,1,0,0,1,0,2,0,1,1,0,0,1,1,0,0,0,1,1,0,0,2,1
M,13,76,0,0,1,0,0,1,0,1,0,0,1,3,0,3,0,1,1,1,0,0,0,0,1,0
M,16,32,1,0,0,0,0,0,0,1,1,2,1,3,1,0,2,1,0,0,2,1,0,0,1,0
M,17,10,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,0,0,0,1,1,0,0,1,0
M,17,61,0,0,2,0,0,0,0,1,1,0,0,0,2,0,1,3,0,0,0,1,1,0,0,0
M,16,91,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
